# spec/derived/anchors.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# Every section the published rendering numbers, in document order, addressed by that rendering's own number rather than by the anchor slug beside it.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/derive.rs, xtask/src/inventory.rs
# Reader SHA-256: 71d060ca426af22f7aa6b34424a01c5035090d63895e5543db9be62e97880231

address	anchor	title_en	title_ja
# Three numbered sections are absent, deliberately. The address grammar
# docs/design/address-corpus.tsv fixes runs to seven appendices, A through G, while
A.5	cl-05	Middle dots (cl-05)	中点類（cl-05）
A.6	cl-06	Full stops (cl-06)	句点類（cl-06）
A.7	cl-07	Commas (cl-07)	読点類（cl-07）
A.8	cl-08	Inseparable characters (cl-08)	分離禁止文字（cl-08）
A.9	cl-09	Iteration marks (cl-09)	繰返し記号（cl-09）
A.10	cl-10	Prolonged sound mark (cl-10)	長音記号（cl-10）
A.11	cl-11	Small kana (cl-11)	小書きの仮名（cl-11）
A.12	cl-12	Prefixed abbreviations (cl-12)	前置省略記号（cl-12）
A.13	cl-13	Postfixed abbreviations (cl-13)	後置省略記号（cl-13）
A.14	cl-14	Full-width ideographic space (cl-14)	和字間隔（cl-14）
A.15	cl-15	Hiragana (cl-15)	平仮名（cl-15）
A.16	cl-16	Katakana (cl-16)	片仮名（cl-16）
A.17	cl-17	Math symbols (cl-17)	等号類（cl-17）
A.18	cl-18	Math operators (cl-18)	演算記号（cl-18）
A.19	cl-19	Ideographic characters (cl-19)	漢字等（漢字以外の例）（cl-19）
A.20	cl-20	Characters as reference marks (cl-20)	合印中の文字（cl-20）
A.21	cl-21	Ornamented character complexes (cl-21)	親文字群中の文字（添え字付き）（cl-21）
A.22	cl-22	Simple-ruby character complexes (cl-22)	親文字群中の文字（熟語ルビ以外のルビ付き）（cl-22）
A.23	cl-23	Jukugo-ruby character complexes (cl-23)	親文字群中の文字（熟語ルビ付き）（cl-23）
A.24	cl-24	Grouped numerals (cl-24)	連数字中の文字（cl-24）
A.25	cl-25	Unit symbols (cl-25)	単位記号中の文字（cl-25）
A.26	cl-26	Western word space (cl-26)	欧文間隔（cl-26）
A.27	cl-27	Western characters (cl-27)	欧文用文字（cl-27）
A.28	cl-28	Warichu opening brackets (cl-28)	割注始め括弧類（cl-28）
A.29	cl-29	Warichu closing brackets (cl-29)	割注終わり括弧類（cl-29）
A.30	cl-30	Characters in tate-chu-yoko (cl-30)	縦中横中の文字（cl-30）
B	spacing_between_characters	Spacing between Characters	文字間の空き量
B.1	legend_of_table_2	Legend of Table 1	表1の見方
B.2	notes_a2	Notes	注記
C	possibilities_for_linebreaking_between_characters	Possibilities for Line-breaking between Characters	文字間での分割の可否
C.1	legend_of_table_3	Legend of Table 2	表2の見方
C.2	notes_a3	Notes	注記
C.3	addendum_a3	Addendum	補記
D	opportunities_for_intercharacter_space_reduction_during_line_adjustment	Opportunities for Inter-character Space Reduction during Line Adjustment	行の調整処理で​詰める処理が​可能な箇所
D.1	legend_of_tables_4_5_6	Legend of Tables 3, 4 and 5	表3，表4及び表5の見方
D.2	notes_a4	Notes	注記
E	opportunities_for_intercharacter_space_expansion_during_line_adjustment	Opportunities for Inter-character Space Expansion during Line Adjustment	行の調整処理で​空ける処理が​可能な箇所
E.1	legend_of_table_7	Legend of Table 6	表6の見方
E.2	notes_a5	Notes	注記
F	positioning_of_jukugoruby	Positioning of Jukugo-ruby	熟語ルビの配置方法
F.1	principles_of_jukugoruby_distribution_1	Principles of Jukugo-Ruby Distribution: Part 1	熟語ルビの配置方法の原則その1
F.2	principles_of_jukugoruby_distribution_2	Principles of Jukugo-Ruby Distribution: Part 2	熟語ルビの配置方法の原則その2
F.3	principles_of_jukugoruby_distribution_with_intercharacter_space_expansion	Principles of Jukugo-Ruby Distribution with Inter-Character Space Expansion	熟語ルビの親文字の字間を空ける処理の原則
F.4	examples_of_jukugoruby_distribution_with_intercharacter_space_expansion	Examples of Jukugo-Ruby Distribution with Inter-Character Space Expansion	熟語ルビの親文字の字間を空ける処理例
G	terminology	Terminology	用語集
