# spec/derived/appendix-a.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# Every row of every Appendix A table, in document order: the class that lists the key, the key, and the Remarks cell in both locales.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/classes.rs, xtask/src/derive.rs
# Reader SHA-256: ad771cad8de6bae9311db70920802ac43ce400a771a380b386503eb1fa346fcd

class	key	remark-en	remark-ja
cl-19	24E8		
cl-19	24E9		
cl-19	24EB		
cl-19	24EC		
cl-19	24ED		
cl-19	24EE		
cl-19	24EF		
cl-19	24F0		
cl-19	24F1		
cl-19	24F2		
cl-19	24F3		
cl-19	24F4		
cl-19	24F5		
cl-19	24F6		
cl-19	24F7		
cl-19	24F8		
cl-19	24F9		
cl-19	24FA		
cl-19	24FB		
cl-19	24FC		
cl-19	24FD		
cl-19	24FE		
cl-19	25A0		
cl-19	25A1		
cl-19	25B1		
cl-19	25B2		
cl-19	25B3		
cl-19	25B6		
cl-19	25B7		
cl-19	25BC		
cl-19	25BD		
cl-19	25C0		
cl-19	25C1		
cl-19	25C6		
cl-19	25C7		
cl-19	25C9		
cl-19	25CB		
cl-19	25CE		
cl-19	25CF		
cl-19	25D0		
cl-19	25D1		
cl-19	25D2		
cl-19	25D3		
cl-19	25E6		
cl-19	25EF		
cl-19	2600		
cl-19	2601		
cl-19	2602		
cl-19	2603		
cl-19	2605		
cl-19	2606		
cl-19	260E		
cl-19	2616		
cl-19	2617		
cl-19	261E		
cl-19	2640		
cl-19	2642		
cl-19	2660		
cl-19	2661		
cl-19	2662		
cl-19	2663		
cl-19	2664		
cl-19	2665		
cl-19	2666		
cl-19	2667		
cl-19	2668		
cl-19	2669		
cl-19	266A		
cl-19	266B		
cl-19	266C		
cl-19	266D		
cl-19	266E		
cl-19	266F		
cl-19	2713		
cl-19	2756		
cl-19	2776		
cl-19	2777		
cl-19	2778		
cl-19	2779		
cl-19	277A		
cl-19	277B		
cl-19	277C		
cl-19	277D		
cl-19	277E		
cl-19	277F		
cl-19	2934		
cl-19	2935		
cl-19	29BF		
cl-19	29FA		
cl-19	29FB		
cl-19	3003		
cl-19	3006		
cl-19	3007		
cl-19	3012		
cl-19	3013		
cl-19	3020		
cl-19	303C		
cl-19	303D		
cl-19	309F		
cl-19	30FF		
cl-19	3231		
cl-19	3232		
cl-19	3239		
cl-19	3251		
cl-19	3252		
cl-19	3253		
cl-19	3254		
cl-19	3255		
cl-19	3256		
cl-19	3257		
cl-19	3258		
cl-19	3259		
cl-19	325A		
cl-19	325B		
cl-19	325C		
cl-19	325D		
cl-19	325E		
cl-19	325F		
cl-19	32A4		
cl-19	32A5		
cl-19	32A6		
cl-19	32A7		
cl-19	32A8		
cl-19	32B1		
cl-19	32B2		
cl-19	32B3		
cl-19	32B4		
cl-19	32B5		
cl-19	32B6		
cl-19	32B7		
cl-19	32B8		
cl-19	32B9		
cl-19	32BA		
cl-19	32BB		
cl-19	32BC		
cl-19	32BD		
cl-19	32BE		
cl-19	32BF		
cl-19	32D0		
cl-19	32D1		
cl-19	32D2		
cl-19	32D3		
cl-19	32D4		
cl-19	32D5		
cl-19	32D6		
cl-19	32D7		
cl-19	32D8		
cl-19	32D9		
cl-19	32DA		
cl-19	32DB		
cl-19	32DC		
cl-19	32DD		
cl-19	32DE		
cl-19	32DF		
cl-19	32E0		
cl-19	32E1		
cl-19	32E2		
cl-19	32E3		
cl-19	32E5		
cl-19	32E9		
cl-19	32EC		
cl-19	32ED		
cl-19	32FA		
cl-19	337B		
cl-19	337C		
cl-19	337D		
cl-19	337E		
cl-19	33CD		
cl-19	4EDD		
cl-24	0020	quarter em width	位取りの空白\n字幅は四分角
cl-24	002C	quarter em width or half-width	位取りのコンマ\n字幅は四分角又は半角
cl-24	002E	decimal point\nquarter em width or half-width	小数点\n字幅は四分角又は半角
cl-24	0030	half-width	字幅は半角
cl-24	0031	half-width	字幅は半角
cl-24	0032	half-width	字幅は半角
cl-24	0033	half-width	字幅は半角
cl-24	0034	half-width	字幅は半角
cl-24	0035	half-width	字幅は半角
cl-24	0036	half-width	字幅は半角
cl-24	0037	half-width	字幅は半角
cl-24	0038	half-width	字幅は半角
cl-24	0039	half-width	字幅は半角
cl-25	0020	quarter em width	位取りの空白\n字幅は四分角
cl-25	0028		
cl-25	0029		
cl-25	002F	one third em width, half-width or proportional	字幅は三分角，\n半角又はプロポーショナル
cl-25	0031	half-width or proportional	半角又はプロポーショナル
cl-25	0032	half-width or proportional	半角又はプロポーショナル
cl-25	0033	half-width or proportional	半角又はプロポーショナル
cl-25	0034	half-width or proportional	半角又はプロポーショナル
cl-25	0041	proportionally-spaced	プロポーショナル
cl-25	0042	proportionally-spaced	プロポーショナル
cl-25	0043	proportionally-spaced	プロポーショナル
cl-25	0044		プロポーショナル
cl-25	0045	proportionally-spaced	プロポーショナル
cl-25	0046	proportionally-spaced	プロポーショナル
cl-25	0047	proportionally-spaced	プロポーショナル
cl-25	0048	proportionally-spaced	プロポーショナル
cl-25	0049		プロポーショナル
cl-25	004A	proportionally-spaced	プロポーショナル
cl-25	004B		プロポーショナル
cl-25	004C	proportionally-spaced	プロポーショナル
cl-25	004D	proportionally-spaced	プロポーショナル
cl-25	004E	proportionally-spaced	プロポーショナル
cl-25	004F	proportionally-spaced	プロポーショナル
cl-25	0050	proportionally-spaced	プロポーショナル
cl-25	0051	proportionally-spaced	プロポーショナル
cl-25	0052	proportionally-spaced	プロポーショナル
cl-25	0053	proportionally-spaced	プロポーショナル
cl-25	0054	proportionally-spaced	プロポーショナル
cl-25	0055	proportionally-spaced	プロポーショナル
cl-25	0056	proportionally-spaced	プロポーショナル
cl-25	0057	proportionally-spaced	プロポーショナル
cl-25	0058	proportionally-spaced	プロポーショナル
cl-25	0059	proportionally-spaced	プロポーショナル
cl-25	005A	proportionally-spaced	プロポーショナル
cl-25	0061	proportionally-spaced	プロポーショナル
cl-25	0062	proportionally-spaced	プロポーショナル
cl-25	0063	proportionally-spaced	プロポーショナル
cl-25	0064	proportionally-spaced	プロポーショナル
cl-25	0065	proportionally-spaced	プロポーショナル
cl-25	0066	proportionally-spaced	プロポーショナル
cl-25	0067	proportionally-spaced	プロポーショナル
cl-25	0068	proportionally-spaced	プロポーショナル
cl-25	0069	proportionally-spaced	プロポーショナル
cl-25	006A	proportionally-spaced	プロポーショナル
cl-25	006B	proportionally-spaced	プロポーショナル
cl-25	006C	proportionally-spaced	プロポーショナル
cl-25	006D	proportionally-spaced	プロポーショナル
cl-25	006E	proportionally-spaced	プロポーショナル
cl-25	006F	proportionally-spaced	プロポーショナル
cl-25	0070	proportionally-spaced	プロポーショナル
cl-25	0071	proportionally-spaced	プロポーショナル
cl-25	0072	proportionally-spaced	プロポーショナル
cl-25	0073	proportionally-spaced	プロポーショナル
cl-25	0074	proportionally-spaced	プロポーショナル
cl-25	0075	proportionally-spaced	プロポーショナル
cl-25	0076	proportionally-spaced	プロポーショナル
cl-25	0077	proportionally-spaced	プロポーショナル
cl-25	0078	proportionally-spaced	プロポーショナル
cl-25	0079	proportionally-spaced	プロポーショナル
cl-25	007A	proportionally-spaced	プロポーショナル
cl-25	03A9	proportionally-spaced	プロポーショナル
cl-25	03BC	proportionally-spaced	プロポーショナル
cl-25	2127	proportionally-spaced	プロポーショナル
cl-25	212B	proportionally-spaced	プロポーショナル
cl-25	2212		
cl-25	30FB	half-width	字幅は半角
cl-26	0020		
cl-27	0021	proportionally-spaced	プロポーショナル
cl-27	0022	proportionally-spaced	プロポーショナル
cl-27	0023	proportionally-spaced	プロポーショナル
cl-27	0024	proportionally-spaced	プロポーショナル
cl-27	0025	proportionally-spaced	プロポーショナル
cl-27	0026	proportionally-spaced	プロポーショナル
cl-27	0027	proportionally-spaced	プロポーショナル
cl-27	0028	proportionally-spaced	プロポーショナル
cl-27	0029	proportionally-spaced	プロポーショナル
cl-27	002A	proportionally-spaced	プロポーショナル
cl-27	002B	proportionally-spaced	プロポーショナル
cl-27	002C	proportionally-spaced	プロポーショナル
cl-27	002D	proportionally-spaced	プロポーショナル
cl-27	002E	proportionally-spaced	プロポーショナル
cl-27	002F	proportionally-spaced	プロポーショナル
cl-27	0030	proportionally-spaced	プロポーショナル
cl-27	0031	proportionally-spaced	プロポーショナル
cl-27	0032	proportionally-spaced	プロポーショナル
cl-27	0033	proportionally-spaced	プロポーショナル
cl-27	0034	proportionally-spaced	プロポーショナル
cl-27	0035	proportionally-spaced	プロポーショナル
cl-27	0036	proportionally-spaced	プロポーショナル
cl-27	0037	proportionally-spaced	プロポーショナル
cl-27	0038	proportionally-spaced	プロポーショナル
cl-27	0039	proportionally-spaced	プロポーショナル
cl-27	003A	proportionally-spaced	プロポーショナル
cl-27	003B	proportionally-spaced	プロポーショナル
cl-27	003C	proportionally-spaced	プロポーショナル
cl-27	003D	proportionally-spaced	プロポーショナル
cl-27	003E	proportionally-spaced	プロポーショナル
cl-27	003F	proportionally-spaced	プロポーショナル
cl-27	0040	proportionally-spaced	プロポーショナル
cl-27	0041	proportionally-spaced	プロポーショナル
cl-27	0042	proportionally-spaced	プロポーショナル
cl-27	0043	proportionally-spaced	プロポーショナル
cl-27	0044	proportionally-spaced	プロポーショナル
cl-27	0045	proportionally-spaced	プロポーショナル
cl-27	0046	proportionally-spaced	プロポーショナル
cl-27	0047	proportionally-spaced	プロポーショナル
cl-27	0048	proportionally-spaced	プロポーショナル
cl-27	0049	proportionally-spaced	プロポーショナル
cl-27	004A	proportionally-spaced	プロポーショナル
cl-27	004B	proportionally-spaced	プロポーショナル
cl-27	004C	proportionally-spaced	プロポーショナル
cl-27	004D	proportionally-spaced	プロポーショナル
cl-27	004E	proportionally-spaced	プロポーショナル
cl-27	004F	proportionally-spaced	プロポーショナル
cl-27	0050	proportionally-spaced	プロポーショナル
cl-27	0051	proportionally-spaced	プロポーショナル
cl-27	0052	proportionally-spaced	プロポーショナル
cl-27	0053	proportionally-spaced	プロポーショナル
cl-27	0054	proportionally-spaced	プロポーショナル
cl-27	0055	proportionally-spaced	プロポーショナル
cl-27	0056	proportionally-spaced	プロポーショナル
cl-27	0057	proportionally-spaced	プロポーショナル
cl-27	0058	proportionally-spaced	プロポーショナル
cl-27	0059	proportionally-spaced	プロポーショナル
cl-27	005A	proportionally-spaced	プロポーショナル
cl-27	005B	proportionally-spaced	プロポーショナル
cl-27	005C	proportionally-spaced	プロポーショナル
cl-27	005D	proportionally-spaced	プロポーショナル
cl-27	005E	proportionally-spaced	プロポーショナル
cl-27	005F	proportionally-spaced	プロポーショナル
cl-27	0060	proportionally-spaced	プロポーショナル
cl-27	0061	proportionally-spaced	プロポーショナル
cl-27	0062	proportionally-spaced	プロポーショナル
cl-27	0063	proportionally-spaced	プロポーショナル
cl-27	0064	proportionally-spaced	プロポーショナル
cl-27	0065	proportionally-spaced	プロポーショナル
cl-27	0066	proportionally-spaced	プロポーショナル
cl-27	0067	proportionally-spaced	プロポーショナル
cl-27	0068	proportionally-spaced	プロポーショナル
cl-27	0069	proportionally-spaced	プロポーショナル
cl-27	006A	proportionally-spaced	プロポーショナル
cl-27	006B	proportionally-spaced	プロポーショナル
cl-27	006C	proportionally-spaced	プロポーショナル
cl-27	006D	proportionally-spaced	プロポーショナル
cl-27	006E	proportionally-spaced	プロポーショナル
cl-27	006F	proportionally-spaced	プロポーショナル
cl-27	0070	proportionally-spaced	プロポーショナル
cl-27	0071	proportionally-spaced	プロポーショナル
cl-27	0072	proportionally-spaced	プロポーショナル
cl-27	0073	proportionally-spaced	プロポーショナル
cl-27	0074	proportionally-spaced	プロポーショナル
cl-27	0075	proportionally-spaced	プロポーショナル
cl-27	0076	proportionally-spaced	プロポーショナル
cl-27	0077	proportionally-spaced	プロポーショナル
cl-27	0078	proportionally-spaced	プロポーショナル
cl-27	0079	proportionally-spaced	プロポーショナル
cl-27	007A	proportionally-spaced	プロポーショナル
cl-27	007B	proportionally-spaced	プロポーショナル
cl-27	007C	proportionally-spaced	プロポーショナル
cl-27	007D	proportionally-spaced	プロポーショナル
cl-27	007E	proportionally-spaced	プロポーショナル
cl-27	00A0	proportionally-spaced	プロポーショナル
cl-27	00A1	proportionally-spaced	プロポーショナル
cl-27	00A2	proportionally-spaced	プロポーショナル
cl-27	00A3	proportionally-spaced	プロポーショナル
cl-27	00A4	proportionally-spaced	プロポーショナル
cl-27	00A5	proportionally-spaced	プロポーショナル
cl-27	00A6	proportionally-spaced	プロポーショナル
cl-27	00A7	proportionally-spaced	プロポーショナル
cl-27	00A8	proportionally-spaced	プロポーショナル
cl-27	00A9	proportionally-spaced	プロポーショナル
cl-27	00AA	proportionally-spaced	プロポーショナル
